source,translation
Fire Trap,ファイヤートラップ
Vaal Fire Trap,ヴァールファイヤートラップ
Ethereal Knives,イシリアルナイフ
Ice Shot,アイスショット
Vaal Ice Shot,ヴァールアイスショット
Creeping Frost,クリーピングフロスト
Flammability,フラマビリティ
Hypothermia,ハイポサーミア
Conductivity,コンダクティヴィティ
Ball Lightning,ボールライトニング
Vaal Cyclone,ヴァールサイクロン
Cyclone,サイクロン
Smoke Mine,スモークマイン
Spectral Throw,スペクトラルスロー
Vaal Spectral Throw,ヴァールスペクトラルスロー
Purity of Fire,ピュリティオブファイア
Purity of Ice,ピュリティオブアイス
Purity of Lightning,ピュリティオブライトニング
Impurity,インピュリティ
Storm Call,ストームコール
Vaal Storm Call,ヴァールストームコール
Flameblast,フレイムブラスト
Blood Sacrament,ブラッドサークラメント
Vaal Flameblast,ヴァールフレイムブラスト
Flames of Judgement,フレイムオブジャッジメント
Barrage,バラージ
Summon Raging Spirit,レイジングスピリット召喚
Flame Surge,フレイムサージ
Desecrate,デセクレート
Bone Offering,ボーンオファリング
Glacial Cascade,グレイシャルカスケード
Storm Cascade,ストームカスケード
Molten Strike,モルテンストライク
Vaal Molten Strike,ヴァールモルテンストライク
Tornado Shot,トルネードショット
Herald of Ash,ヘラルドオブアッシュ
Herald of Ice,ヘラルドオブアイス
Herald of Thunder,ヘラルドオブサンダー
Herald of Purity,ヘラルドオブピュリティ
Consecrate,コンセクレート
Kinetic Blast,キネティックブラスト
Summon Chaos Golem,カオスゴーレム召喚
Summon Ice Golem,アイスゴーレム召喚
Summon Flame Golem,フレイムゴーレム召喚
Ice Crash,アイスクラッシュ
Enervating Nova,エナーベイティングノヴァ
Flame Dash,フレイムダッシュ
Vigilant Strike,ヴィジラントストライク
Frost Blades,フロストブレード
Rolling Magma,ローリングマグマ
Punishment,パニッシュメント
Vaal Arctic Armour,ヴァールアークティックアーマー
Wild Strike,ワイルドストライク
Mortar,迫撃スキル
Bladefall,ブレードフォール
Rain of Blades,レインオブブレード
Frost Bomb,フロストボム
Manifest Dancing Dervish,ダルヴィーシュの舞顕現
Manifest Dancing Dervishes,ダルヴィーシュの舞顕現
Orb of Storms,オーブオブストーム
Summon Stone Golem,ストーンゴーレム召喚
Whirling Leap,ワーリングリープ
Earthquake,アースクエイク
Contagion,コンテージョン
Wither,ウィザー
Essence Drain,エッセンスドレイン
Sunder,サンダー
Frostbolt,フロストボルト
Vortex,ヴォーテックス
Face Last Target,フェイスラストターゲット
Summon Lightning Golem,ライトニングゴーレム召喚
Izaro Warp,イザロワープ
Lacerate,ラセレイト
Dark Pact,ダークパクト
Abyssal Pact,アビサルパクト
Scorching Ray,スコーチングレイ
Blade Vortex,ブレードヴォーテックス
Bone Mortar,ボーンモーター
Lightning Bolt,ライトニングボルト
Raise Spiders,スパイダー召喚
Skeletal Warrior Minion,スケルトンウォーリアーミニオン
Skeletal Reaver Minion,スケルトンリーバーミニオン
Skeletal Brute Minion,スケルトンブルートミニオン
Skeletal Sniper Minion,スケルトンスナイパーミニオン
Skeletal Frost Mage Minion,スケルトンフロストメイジミニオン
Skeletal Storm Mage Minion,スケルトンストームメイジミニオン
Skeletal Arsonist Minion,スケルトンアーソニストミニオン
Skeletal Cleric Minion,スケルトンクレリックミニオン
Azmerian Wolf,アズメリウルフ
Mist Raven,ミストレイヴン
Spiraling Conspiracy,スパイラリングコンスピラシー
Corrupted Cry,コラㇷ゚テッドクライ
Twisted Pact,ツイステッドパクト
Profane Decay,プロフェンディケイ
Volatile Dead,ボラタイルデッド
Stalking Pustule,ストーキングパスチュール
Cremation,クリメーション
Tectonic Slam,テクトニックスラム
Despair,ディスペア
Petrification Statue,石化の像
Glimpse of Eternity,永遠の兆し
Twister,ツイスター
Seismic Trap,サイズミックトラップ
Consecrated Path,コンセクレイテッドパス
Toxic Rain,トキシックレイン
Summon Holy Relic,ホーリーレリック召喚
"Summon an image of Beidat, Archangel of Death",死の大天使、ベイダットの像召喚
Summon Pale Angel,ペール・エンジェル召喚
Summon Pale Cherubim,ペール・ケルビム召喚
Summon Pale Servitor,ペール・サーヴィター召喚
"Summon an image of K'tash, the Hate Shepherd",憎悪の羊飼い、カタッシュの像召喚
Summon Demon Harpy,デーモン・ハーピィ召喚
Summon Demon Imp,デーモン・インプ召喚
Summon Demon Beast,デーモン・ビースト召喚
Feast of Flesh,フィーストオブフレッシュ
Soulrend,ソウルレンド
Bane,ベイン
Wave of Conviction,ウェーブオブコンヴィクション
Zealotry,ゼロトリー
Malevolence,マレヴォレンス
Steelskin,スティールスキン
Dash,ダッシュ
Bladestorm,ブレードストーム
Perforate,パーフォレイト
Chain Hook,チェーンフック
Shockwave,ショックウェーブ
Gore Shockwave,ゴアショックウェーブ
Pride,プライド
Summon Carrion Golem,キャリオンゴーレム召喚
Withering Step,ウィザリングステップ
Pyroclast Mine,パイロクラストマイン
Stormblast Mine,ストームブラストマイン
Icicle Mine,アイシクルマイン
Venom Gyre,ヴェノムジャイア
Vaal Venom Gyre,ヴァールヴェノムジャイア
Ensnaring Arrow,エンスネアリングアロー
Siege Ballista,シージバリスタ
Arcane Cloak,アーケインクローク
Snipe,スナイプ
Infernal Cry,インファーナルクライ
Seismic Cry,サイズミッククライ
Ancestral Cry,アンセストラルクライ
Volcanic Steps,ヴォルカニックステップ
Volcanic Eruption,ボルカニックエラプション
Earthshatter,アースシャッター
Crackling Lance,クラックリングランス
Rite of Restoration,ライトオブレストレーション
Sigil of Power,シギルオブパワー
Flame Wall,フレイムウォール
Doom Blast,ドゥームブラスト
Hexblast,ヘックスブラスト
Hydrosphere,ハイドロスフィア
Generosity,ジェネロシティ
Ancestral Warrior Totem,アンセストラルウォーリアートーテム
Spell Totem,スペルトーテム召喚
Summon Ballista Totem,バリスタトーテム召喚
Mortar Cannon,モルタルキャノン
Exsanguinate,イグザングイネイト
Corrupting Fever,コラプティングフィーバー
Reap,リープ
Vaal Reap,ヴァールリープ
His Winnowing Flame,ヒズウィノウイングフレイム
Petrified Blood,ペトリファイドブラッド
Voltaxic Burst,ボルタキシックバースト
DNT-UNUSED Rage Vortex,レイジヴォーテックス
Battlemage's Cry,バトルメイジズクライ
Ambush,アンブッシュ
Blade Trap,ブレードトラップ
Manabond,マナボンド
Storm Rain,ストームレイン
Shield Crush,シールドクラッシュ
Spectral Helix,スペクトラルヘリックス
Boneshatter,ボーンシャッター
Bonebreaker,ボーンブレーカー
Eye of Winter,アイオブウィンター
Temporal Rift,テンポラルリフト
Tornado,トルネード
Elemental Storm,エレメンタルストーム
Energy Blade,エナジーブレード
Soul Link,ソウルリンク
Flame Link,フレイムリンク
Vampiric Link,ヴァンピリックリンク
Protective Link,プロテクティブリンク
Intuitive Link,インテュイティブリンク
Destructive Link,ディストラクティブリンク
Lightning Conduit,ライトニングコンジット
Galvanic Field,ガルヴァニックフィールド
Direct Ants,ダイレクトアンツ
Polymorph,ポリモーフ
Rapid Assault,ラピッドアサルト
Impale,インペール
Blood Hunt,ブラッドハント
Disengage,ディスエンゲージ
Whirling Slash,ワーリングスラッシュ
Spearfield,スピアフィールド
Summon Demon Magus,デーモンメイガス召喚
Lightning Spear,ライトニングスピア
Blazing Lance,ブレイジングランス
Summon Infernal Hound,インファーナルハウンド召喚
"Navira, the Last Mirage",最後の蜃気楼、ナヴィラ
"Ruzhan, the Blazing Sword",灼熱の剣、ルザン
"Kelari, the Tainted Sands",汚染された砂、ケラリ
Kelari's Malediction,ケラリの呪詛
Power Shot,パワーショット
Explosive Shot,エクスプローシブショット
Load Explosive Shot,エクスプローシブショット装填
High Velocity Rounds,ハイベロシティー弾
Load High Velocity Rounds,ハイベロシティー弾装填
Glacial Bolt,グレイシャルボルト
Load Glacial Bolt,グレイシャルボルト装填
Plasma Blast,プラズマブラスト
Load Plasma Blast,プラズマブラスト装填
Siege Cascade,シージカスケード
Load Siege Cascade,シージカスケード装填
Hailstorm Rounds,ヘイルストーム弾
Load Hailstorm Rounds,ヘイルストーム弾装填
Stormblast Bolts,ストームブラストボルト
Load Stormblast Bolts,ストームブラストボルト装填
Whirling Assault,ワーリングアサルト
Rolling Slam,ローリングスラム
Escape Shot,エスケープショット
Supercharged Slam,スーパーチャージドスラム
Wind Blast,ウィンドブラスト
Volcanic Fissure,ヴォルカニックフィッシャー
Frozen Legion,フローズンリージョン
Frozen Sweep,フローズンスウィープ
Vaal Volcanic Fissure,ヴァールヴォルカニックフィッシャー
Summon Triggerbots,トリガーボット召喚
Flip a coin,コイントス
DNT-UNUSED Stance Swap,スタンススワップ
Summon Barrel,バレル召喚
Quickstep,クイックステップ
Freezing Shards,フリージングシャード
Chaos Bolt,カオスボルト
Coiling Bolts,コイリングボルト
Wave of Frost,ウェーブオブフロスト
Rapid Shot,ラピッドショット
Load Rapid Shot,ラピッドショット装填
Armour Piercing Rounds,アーマーピアシング弾
Load Armour Piercing Rounds,アーマーピアシング装填
Ice Shards,アイスシャード
Load Ice Shards,アイスシャード装填
Shockburst Rounds,ショックバースト弾
Load Shockburst Rounds,ショックバースト弾装填
Burst Shot,バーストショット
Incendiary Shot,インセンディアリーショット
Load Incendiary Shot,インセンディアリーショット装填
Fragmentation Rounds,フラグメンテーション弾
Load Fragmentation Rounds,フラグメンテーション弾装填
Permafrost Bolts,パーマフロストボルト
Load Permafrost Bolts,パーマフロストボルト装填
Galvanic Shards,ガルバニックシャード
Load Galvanic Shards,ガルバニックシャード装填
Ice Strike,アイスストライク
Comet,コメット
His Foul Emergence,ヒズフォウルエマージェンス
BurningNova,バーニングノヴァ
Artillery Ballista,アーティラリーバリスタ
Mana Tempest,マナテンペスト
His Dark Horizon,ヒズダークホライゾン
Arctic Armour,アークティックアーマー
Meditate,メディテイト
Killing Palm,キリングパーム
Falling Thunder,フォーリングサンダー
Volcano,ボルケーノ
Wolf Pack,ウルフパック
Cackling Companions,ハイエナコンパニオン
Shattering Palm,シャッタリングパーム
Spiral Volley,スパイラルボレー
Mirror Breaker,ミラーブレーカー
Maul,モール
Pounce,パウンス
Default Attack,デフォルトアタック
Rampage,ランページ
Spear Throw,スピアスロー
Unleash,アンリーシュ
Thunderstorm,サンダーストーム
Combust,コンバスト
Furious Slam,フューリアススラム
Ferocious Roar,フェロシアスロア
Cast on Shock,ショックフラッシュ
Cast on Freeze,凍結時キャスト
Cast on Ignite,発火時キャスト
Cast on Elemental Ailment,元素系状態異常時キャスト
Cast on Melee Kill,近接撃破時キャスト
Cast on Death,死亡時キャスト
Cast when Stunned,被スタン時キャスト
Cast when Damage Taken,被ダメージ時キャスト
Cast on Critical,クリティカル時キャスト
Barrier Invocation,バリアーインボケーション
Cast on Dodge,ドッジ時キャスト
Cast while Channelling,チャネリング中キャスト
Cast on Melee Stun,近接スタン時キャスト
Lingering Illusion,リンガーリングイリュージョン
Void Illusion,ヴォイドイリュージョン
Ghost Dance,ゴーストダンス
Bind Spectre,バインドスペクター
Basic Bolt,基本ボルト
Summon Companion,コンパニオン召喚
Explosive Grenade,エクスプローシブグレネード
Flash Grenade,フラッシュグレネード
Gas Grenade,ガスグレネード
Oil Grenade,オイルグレネード
Fire Bomb,ファイヤーボム
Voltaic Grenade,ヴォルタイークグレネード
Revive Skeleton,スケルトン復活
Pain Offering,ペインオファリング
Command: {0},コマンド：{0}
Resonating Slam,レゾーネーティングスラム
Enrage,エンレイジ
Gas Arrow,ガスアロー
Eternal Hunt,エターナルハント
Death Storm,デスストーム
Explosive Demise,エクスプローシブデマイズ
Navira's Well,ナヴィラの井戸
Navira's Calming,ナヴィラの鎮静
Tempest Flurry,テンペストフラリィ
Staggering Palm,スタガリングパーム
Projectile,投射物
Charged Staff,チャージドスタッフ
Charged Shockwave,チャージドショックウェーブ
Siphoning Strike,サイフォニングストライク
Tempest Bell,テンペストベル
Direct Minions,ミニオン操作
Frozen Locus,フローズンローカス
Bonestorm,ボーンストーム
Bone Cage,ボーンケージ
Consume Corpse,死体消費
Unearth,アンアース
Detonating Arrow,デトネーティングアロー
Poisonburst Arrow,ポイズンバーストアロー
Toxic Growth,トキシックグロース
Stormcaller Arrow,ストームコーラーアロー
Phantasmal Arrow,ファンタズマルアロー
Lightning Rod,ライトニングロッド
Solar Orb,ソーラーオーブ
Fireball,ファイヤーボール
Plague Bearer,プレイグベアラー
Electrocuting Arrow,エレクトロカッティングアロー
Snap,スナップ
Perfect Strike,パーフェクトストライク
Raise Shield,レイズシールド
Kinetic Bash,キネティックバッシュ
Resonating Shield,レゾネーティングシールド
Mana Remnants,マナレムナント
Sanguine Revelry,サングインレヴェルリー
Magma Barrier,マグマバリアー
Magma Spray,マグマスプレー
Punch,パンチ
Quarterstaff Strike,クォータースタッフストライク
Flail Strike,フレイルストライク
Sword Slash,ソードスラッシュ
Axe Slash,アックススラッシュ
Mace Strike,メイスストライク
Claw Stab,クロースタブ
Dagger Stab,ダガースタブ
Spear Stab,スピアスタブ
Bow Shot,ボウショット
Crossbow Shot,クロスボウショット
Grenade,グレネード
Playtest Attack,プレイテストアタック
Playtest Slam,プレイテストスラム
Playtest Spell,プレイテストスペル
Shockwave Totem,ショックウェーブトーテム
Shockwave Slam,ショックウェーブスラム
Vine Arrow,ヴァインアロー
Rhoa Mount,ロアマウント
Plague Burst,プレイグバースト
Decompose,デコンポーズ
Raging Spirits,レイジングスピリット
Ice Shard,アイスシャード
Elemental Discharge,エレメンタルディスチャージ
Catalysing Discharge,カタライジングディスチャージ
Fiery Death,ファイヤリィデス
Explosive Spear,エクスプローシブスピア
Wind Wave,ウィンドウェーブ
Elemental Siphon,エレメンタルサイフォン
Thunderous Leap,サンダラスリープ
Wind Dancer,ウィンドダンサー
Gale Force,ゲールフォース
Mana Flare,マナフレア
Profane Ritual,プロファンリチュアル
Soul Offering,ソウルオファリング
Dark Effigy,ダークエフィジー
Vile Effusion,ヴァイルエフュージョン
Ice Bomb,アイスボム
Grim Feast,グリムフィースト
Blasphemy,ブラスファミー
Cast on Minion Death,ミニオン死亡時キャスト
Scavenged Plating,スカベンジドプレーティング
Spinning Inferno,スピニングインフェルノ
Mana Drain,マナドレイン
Bone Blast,ボーンブラスト
Blink,ブリンク
Black Powder Blitz,ブラックパウダーブリッツ
Incinerate,インシネレート
Molten Blast,モルテンブラスト
Malice,マリス
Hydra Familiar,ヒドラ使い魔
Hammer of the Gods,ハンマーオブゴッズ
Living Bomb,リビングボム
Untether,アンテザー
Stampede,スタンピード
Shield Wall,シールドウォール
Fortifying Cry,フォティファイイングクライ
Shield Wave,シールドウェーブ
Ember Fusillade,エンバーフューシレイド
His Scattering Calamity,ヒズスキャッタリングカラミティ
Sorcery Ward,ソーサリーワード
Stomping Ground Shockwave,スタンピンググラウンドショックウェーブ
Life Remnants,ライフレムナント
Shockchain Arrow,ショックチェインアロー
Vaulting Impact,ヴォールティングインパクト
Storm Wave,ストームウェーブ
Mantra of Destruction,マントラオブデストラクション
Bone Explosion,ボーンエクスプロージョン
Soulbreaker,ソウルブレーカー
Explosive Concoction,エクスプローシブコンコクション
Fulminating Concoction,ファルミネーティングコンコクション
Shattering Concoction,シャッタリングコンコクション
Acidic Concoction,アシッドコンコクション
Bleeding Concoction,ブリーディングコンコクション
Elemental Expression,エレメンタルエクスプレッション
War Banner,ウォーバナー
Defiance Banner,デファイアンスバナー
Dread Banner,ドレッドバナー
Freezing Mark,凍結の呪印
Voltaic Mark,電流の呪印
Unbound Avatar,アンバウンドアバター
Hand of Chayula,チャユラの手
DNT-UNUSED Freezing Word,DNT-UNUSEDフリージングワード
Freezing Explosion,フリージングエクスプロージョン
Time Snap,タイムスナップ
Time Freeze,タイムフリーズ
Demon Form,デーモンフォーム
Time of Need,タイムオブニード
Encase in Jade,ヒスイの守り
Align Fate,運命の調和
Moment of Vulnerability,無防備の瞬間
Ancestral Spirits,アンセストラルスピリット
Elemental Invocation,エレメンタルインボケーション
Into the Breach,イントゥーザブリーチ
Attrition,アトリション
Elemental Conflux,エレメンタルコンフラックス
Emergency Reload,緊急リロード
Cluster Grenade,クラスターグレネード
Lightning Clone Retaliation,リタリエーション
Charge Regulation,チャージレギュレーション
Shard Scavenger,シャードスカベンジャー
Overwhelming Presence,オーバーウェルミングプレゼンス
Alchemist's Boon,アルケミストブーン
Reaper's Invocation,リーパーズインボケーション
Sacrifice,サクリファイス
Archmage,アークメイジ
Burning Inscription,バーニングインスクリプション
Magnetic Salvo,マグネティックサルヴォ
Freezing Salvo,フリージングサルヴォ
Berserk,バーサーク
Herald of Plague,ヘラルドオブプレイグ
Herald of Blood,ヘラルドオブブラッド
Withering Presence,ウィザリングプレゼンス
Ravenous Swarm,ラヴェナススウォーム
Mirage Deadeye,ミラージュデッドアイ
Mirage Archer,ミラージュアーチャー
Combat Frenzy,コンバットフレンジー
Cast on Block,ブロック時キャスト
Curse on Block,ブロック時呪い
Gathering Storm,ギャザリングストーム
Ritual Sacrifice,リチュアルサクリファイス
Blood Boil,ブラッドボイル
Shattering Spite,シャタリングスパイト
Vivid Stampede,ビビッドスタンピード
Wild Protector,ワイルドプロテクター
Hollow Form,ホロウフォーム
Hollow Focus,ホロウフォーカス
Hollow Resonance,ホロウレゾナンス
Called Shots,コールショット
Bone Shrapnel Explosion,ボーンシュラプネルエクスプロージョン
Battershout,バターシャウト
Caltrops,マキビシ
Haemocrystals,血の結晶
Quill Burst,クイルバースト
Brambles,荊棘
Static Shocks,スタティックショック
Tawhoa's Vengeance,タウホアの復讐
Whirlwind Lance,ワールウィンドランス
Wind Serpent's Fury,ウィンドサーペントズフューリー
Rake,レーキ
Bloodhound's Mark,ブラッドハウンドの呪印
Blood Explosion,ブラッドエクスプロージョン
Tame Beast,テイムビースト
Spear of Solaris,スピアオブソラリス
Storm Lance,ストームランス
Parry,パリィ
Fangs of Frost,ファングオブフロスト
Elemental Sundering,エレメンタルサンダリング
Companion: {0},コンパニオン: {0}
DNT-UNUSED Frozen Vortex,ヴォーテックス
Cast on Charm Use,チャーム使用時キャスト
Trinity,トリニティ
Glacial Lance,グレイシャルランス
Primal Strikes,プライマルストライク
Cull the Weak,カルザウィーク
Elemental Surge,エレメンタルサージ
Chaotic Surge,カオティックサージ
Trail of Caltrops,トレイルオブカルトロップ
Thundergod's Wrath,雷神の怒り
Fire Spell on Melee Hit,近接ヒット時火スペル
DNT-UNUSED triggered_hoarfrost,トリガードホアフロスト
Manifest Weapon,マニフェストウェポン
Supporting Fire,サポーティングファイヤー
Death From Above,デスフロムアバブ
Mad Flight,マッドファイト
Temper Weapon,テンパーウェポン
Convalescence,コンバレセンス
Set Shark Bait,サメの餌設置
Gemini Surge,ジェム二サージ
Rend,レンド
Wing Blast,ウィングバースト
Bursting Fen Toad,バースティングフェントード
Navira's Embrace,ナヴィラの抱擁
Navira's Fracturing,ナヴィラの破砕
Navira's Oasis,ナヴィラのオアシス
Kelari's Brutality,ケラリの残虐
Kelari's Deception,ケラリの欺き
Kelari's Judgment,ケラリの裁き
Sandblast,サンドブラスト
Ruzhan's Brand,ルザンの焼き印
Ruzhan's Trap,ルザンの罠
Ruzhan's Reckoning,ルザンの清算
Ruzhan's Fury,ルザンの怒り
Ruzhan's Zealotry,ルザンの狂信
Slam,スラム
Roar,ロアー
Oil Barrage,オイルバラージ
Iron Ward,アイアンワード
Flame Breath,フレイムブレス
Entangle,エンタングル
Ice Fragments,アイスフラグメント
Shred,シュレッド
Fury of the Mountain,フューリーオブザマウンテン
Predator's Mark,プレデターの呪印
Cross Slash,クロススラッシュ
Pinnacle of Power,ピナクルオブパワー
Requiem,レクイエム
Compose Requiem,コンポーズレクイエム
Lunar Assault,ルナーアサルト
Heart of Ice,ハートオブアイス
Primal Avatar,プライマルアバター
Devour,デバウアー
Thrashing Vines,スラッシングバイン
Triggered Caustic Cloud,トリガードコースティッククラウド
Lunar Blessing,ルナーブレッシング
Arctic Howl,アークティックハウル
Living Lightning,リビングライトニング
Living Bolt,リビングボルト
Electromagnetism,エレクトロマグネティズム
Flame Pillar,火柱
Grisly Pyre,グリスリーパイア
Crater,クレーター
Fiery Reclamation,ファイアリーリクラメーション
Skittering Stone,スキッタリングストーン
Forge Hammer,フォージハンマー
Toggle Mount Minion,トグルマウントミニオン
Fulmination,フルミネーション
Grim Resurrection,グリムリザレクション
Primal Bounty,プライマルバウンティ
Lightless Stalker,ライトレスストーカー
Toxic Domain,トキシックドメイン
Spellslinger,スペルスリンガー
Ice-Tipped Arrows,アイスティップアロー
Crackling Palm,クラックリングパーム
Gelid Palm,ジェリッドパーム
Mark as prey,獲物に指定
Future-Past,時の交差
Runic Tempering,ルーニックテンパリング
Doedre's Dark Design,ドゥードリのダークデザイン
Ice Armour,アイスアーマー
Siphon Elements,サイフォンエレメント
Shattering Roar,シャタリングロアー
Frost Darts,フロストダーツ
His Grave Command,ヒズグレーブコマンド
Abyssal Apparition,アビサルアパリション
Creeping Chill,クリーピングチル
Arm Whack,アームワック
Briarpatch,ブライアパッチ
Eternal Rage,エターナルレイジ
Savage Fury,サベージフューリー
Summon Wolf,ウルフ召喚
Walking Calamity,ウォーキングカラミティ
Meteors,メテオ
The Stars Answer,スターアンサー
Starfall,スターフォール
Apocalypse,アポカリプス
Meteor,メテオ
Hailstorm,ヘイルストーム
Crash Lightning,クラッシュライトニング
Accelerated Growth,成長の加速
Fan the Flames,ファンザフレイム
Coursing Current,雷の奔流
Mirror of Refraction,屈折の鏡
Barkskin,バークスキン
Feral Invocation,フェラルインヴォケーション
Poison Spores,毒胞子
Annihilation,アニヒレーション
Deadly Resolve,デッドリーリソルブ
Empowered Sparks,強化のスパーク
Moonbeam,ムーンビーム
Archon of Chayula,アルコンオブチャユラ
Wildwood's Gifts,ワイルドウッドギフト
Righteous Descent,ライチャスデセント
Starborn Onslaught,スターボーンオンスロート
Voltaic Fulmination,ヴォルカニックフルミネーション
Azmerian Swarms,アズメリスウォーム
Harbinger of Madness,ハービンジャーオブマッドネス
Winged Entropy,ウィングエントロピー
Soaring Midnight,ソアリングミッドナイト
Embrace The Fall,エンブレースザフォール
Chayula's Will,チャユラズウィル
Spirit Vessel,スピリットヴェセル
Mesmerize,メスメライズ
Crushing Fear,クラッシングフィアー
Midnight Zenith,ミッドナイトゼニス
Virtuous Barrier,ヴァーチュアスバリア
Dark Consequences,ダーク・コンシクエンス
Concussive Runes,コンカッシブルーン
Leylines,レイライン
Frostflame Nova,フロストフレイムノヴァ
Hollow Shell,ホロウシェル
Molten Shower,モルテンシャワー
Runeforged Blades,ルーンフォージブレード
Fist of Kalguur,フィストオブカルグール
Powered by Verisium,パワードバイヴェリシウム
Refutation,リフュテーション
Repulsion,リパルション
Repulsion Wave,リパルションウェーブ
Triskelion Cascade,トリスケリオンカスケード
Skyfall,スカイフォール
Detonate Living,デトネートリビング
Animus Exchange,アニムスエクスチェンジ
Bitter Dead,ビターデッド
Eternal March,エターナルマーチ
Grim Pillars,グリムピラー
Verisium Manifestations,ヴェリシウムマニフェステーション
Manifest Rune,マニフェストルーン
Remnants of Kalguur,レムナントオブカルグール
Wardbound Minions,ワードバウンドミニオン
Fragments of the Past,フラグメントオブザパスト
Conductive Runes,コンダクティブルーン
Herald of the Royal Queen,ヘラルドオブロイヤルクイーン
Nature's Exchange,ネイチャーエクスチェンジ
Animus Splinters,アニムススプリンター
Runic Reprieve,ルーニックリプリーブ
Voltaic Barrier,ボルタイックバリア
Fragment Self,フラクチャーセルフ
Explosive Transmutation,エクスプローシブトランスミューテーション
Transmutation Explosion,トランスミューテーションエクスプローション
Falling Blade,フォーリングブレード
Smash to Smithereens,スマッシュトゥスミザリンズ
Queen's Procession,クイーンズプロセッション
"The character slams the ground in front of them with a Mace, creating a wave that travels forward and damages enemies with an increased chance to stun.",前方の地面をメイスでスラムして前方に移動する衝撃波を放ち、敵にダメージを与える。スタン確率が増加する。
"Slams the ground in front of you, creating a wave that travels forward and damages enemies.",前方の地面をスラムして前方に移動する衝撃波を放ち、敵にダメージを与える。
"DNT-UNUSED Slams the ground in front of you, creating a wave that travels in all directions that damages enemies with an increased chance to stun. The wave deals more damage to closer enemies.",前方の地面を叩きつけ、周囲に衝撃波を放つ。衝撃波は敵にダメージを与え、高いスタン確率を持つ。近くの敵に対してはダメージが上昇する。
"The character swings their weapon (or both weapons if dual wielding) in an arc, damaging monsters in an area in front of them. Only works with Axes and Swords.",武器 (二刀流の場合は両方の武器 )を弧を描くように振り、前方範囲内のモンスターにダメージを与える。使用するには斧または剣を装備する必要がある。
"Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled. Cannot be supported by Multistrike.",敵に向かって突進し、盾で強打することで敵をはねつけスタンさせる。道を塞いでいる敵は横に押しのけられる。ダメージとスタンは移動距離に比例する。マルチストライクでサポートすることができない。
