source,translation
Greater Essence of Flames,火炎のグレーターエッセンス
Greater Essence of Ice,氷のグレーターエッセンス
Greater Essence of Electricity,電気のグレーターエッセンス
Greater Essence of Ruin,破滅のグレーターエッセンス
Greater Essence of Battle,戦闘のグレーターエッセンス
Greater Essence of Sorcery,魔法のグレーターエッセンス
Greater Essence of Haste,迅速のグレーターエッセンス
Greater Essence of the Infinite,無限のグレーターエッセンス
Perfect Essence of the Body,肉体のパーフェクトエッセンス
Perfect Essence of the Mind,精神のパーフェクトエッセンス
Perfect Essence of Enhancement,強化のパーフェクトエッセンス
Perfect Essence of Abrasion,擦傷のパーフェクトエッセンス
Perfect Essence of Flames,火炎のパーフェクトエッセンス
Perfect Essence of Ice,氷のパーフェクトエッセンス
Perfect Essence of Electricity,電気のパーフェクトエッセンス
Perfect Essence of Ruin,破滅のパーフェクトエッセンス
Perfect Essence of Battle,戦闘のパーフェクトエッセンス
Perfect Essence of Sorcery,魔法のパーフェクトエッセンス
Perfect Essence of Haste,迅速のパーフェクトエッセンス
Perfect Essence of the Infinite,無限のパーフェクトエッセンス
Lesser Essence of Seeking,探求のレッサーエッセンス
Essence of Seeking,探求のエッセンス
Greater Essence of Seeking,探求のグレーターエッセンス
Perfect Essence of Seeking,探求のパーフェクトエッセンス
Essence of Hysteria,ヒステリーのエッセンス
Essence of Delirium,錯乱のエッセンス
Essence of Horror,戦慄のエッセンス
Essence of Insanity,狂気のエッセンス
Essence of the Abyss,アビスのエッセンス
Essence of the Breach,ブリーチのエッセンス
Lesser Essence of Insulation,断熱のレッサーエッセンス
Essence of Insulation,断熱のエッセンス
Greater Essence of Insulation,断熱のグレーターエッセンス
Perfect Essence of Insulation,断熱のパーフェクトエッセンス
Lesser Essence of Thawing,解凍のレッサーエッセンス
Essence of Thawing,解凍のエッセンス
Greater Essence of Thawing,解凍のグレーターエッセンス
Perfect Essence of Thawing,解凍のパーフェクトエッセンス
Lesser Essence of Grounding,接地のレッサーエッセンス
Essence of Grounding,接地のエッセンス
Greater Essence of Grounding,接地のグレーターエッセンス
Perfect Essence of Grounding,接地のパーフェクトエッセンス
Lesser Essence of Alacrity,敏速のレッサーエッセンス
Essence of Alacrity,敏速のエッセンス
Greater Essence of Alacrity,敏速のグレーターエッセンス
Perfect Essence of Alacrity,敏速のパーフェクトエッセンス
Lesser Essence of Opulence,絢爛のレッサーエッセンス
Essence of Opulence,絢爛のエッセンス
Greater Essence of Opulence,絢爛のグレーターエッセンス
Perfect Essence of Opulence,絢爛のパーフェクトエッセンス
Lesser Essence of Command,命令のレッサーエッセンス
Essence of Command,命令のエッセンス
Greater Essence of Command,命令のグレーターエッセンス
Perfect Essence of Command,命令のパーフェクトエッセンス
Simple Sextant,簡素な六分儀
Prime Sextant,一級品の六分儀
Awakened Sextant,覚醒した六分儀
Elevated Sextant,高位の六分儀
Apprentice Cartographer's Seal,見習い地図職人の印章
Journeyman Cartographer's Seal,熟練地図職人の印章
Master Cartographer's Seal,達人地図職人の印章
Unshaping Orb,破綻のオーブ
Breach Splinter,ブリーチスプリンター
Splinter of Xoph,ゾフスプリンター
Splinter of Tul,トゥルスプリンター
Splinter of Esh,エシュスプリンター
Splinter of Uul-Netol,ウール・ネトルスプリンター
Splinter of Chayula,チャユラスプリンター
Blessing of Xoph,ゾフの祝福
Blessing of Tul,トゥルの祝福
Blessing of Esh,エシュの祝福
Blessing of Uul-Netol,ウール・ネトルの祝福
Blessing of Chayula,チャユラの祝福
Timeless Karui Splinter,カルイのタイムレススプリンター
Timeless Maraketh Splinter,マラケスのタイムレススプリンター
Timeless Eternal Empire Splinter,永遠なる帝国のタイムレススプリンター
Timeless Templar Splinter,テンプラーのタイムレススプリンター
Timeless Vaal Splinter,ヴァールのタイムレススプリンター
Simulacrum Splinter,シミュラクラムスプリンター
Petition Splinter,請願のスプリンター
Runic Splinter,ルーニックスプリンター
Orb of Annulment,消去のオーブ
Orb of Binding,連結のオーブ
Orb of Horizons,地平のオーブ
Harbinger's Orb,ハービンジャーオーブ
Engineer's Orb,技師のオーブ
Infused Engineer's Orb,強化された技師のオーブ
Ancient Orb,古代のオーブ
Fracturing Orb,フラクチャーオーブ
Annulment Shard,消去のシャード
Binding Shard,連結のシャード
Horizon Shard,地平のシャード
Harbinger's Shard,ハービンジャーシャード
Engineer's Shard,技師のシャード
Ancient Shard,古代のシャード
Chaos Shard,カオスシャード
Mirror Shard,鏡のシャード
Exalted Shard,高貴のシャード
Regal Shard,王者のシャード
Fracturing Shard,フラクチャーシャード
Artificer's Shard,熟練工のシャード
Simple Rope Net,単純な縄のネット
Reinforced Rope Net,補強された縄のネット
Strong Rope Net,頑丈な縄のネット
Simple Iron Net,単純な鉄製のネット
Reinforced Iron Net,補強された鉄製のネット
Strong Iron Net,頑丈な鉄製のネット
Simple Steel Net,単純な鋼鉄のネット
Reinforced Steel Net,補強された鋼鉄のネット
Strong Steel Net,頑丈な鋼鉄のネット
Thaumaturgical Net,魔術のネット
Necromancy Net,ネクロマンシーネット
Vial of Dominance,支配の小瓶
Vial of Summoning,召喚の小瓶
Vial of Awakening,覚醒の小瓶
Vial of the Ritual,儀式の小瓶
Vial of Fate,運命の小瓶
Vial of Consequence,結果の小瓶
Vial of the Ghost,幽霊の小瓶
Vial of Transcendence,超越の小瓶
Vial of Sacrifice,生贄の小瓶
Scorched Fossil,焦げたフォッシル
Frigid Fossil,極寒のフォッシル
Metallic Fossil,金属光沢のフォッシル
Jagged Fossil,ギザギザのフォッシル
Aberrant Fossil,異常なフォッシル
Pristine Fossil,綺麗なフォッシル
Dense Fossil,不透明なフォッシル
Corroded Fossil,腐食したフォッシル
Prismatic Fossil,プリズムのフォッシル
Aetheric Fossil,エーテルのフォッシル
Serrated Fossil,ノコギリ歯状のフォッシル
Lucent Fossil,輝くフォッシル
Shuddering Fossil,震動するフォッシル
Bound Fossil,縛られたフォッシル
Perfect Fossil,完全なフォッシル
Deft Fossil,巧みなフォッシル
Fundamental Fossil,基本的なフォッシル
Faceted Fossil,面の刻まれたフォッシル
Bloodstained Fossil,血塗れのフォッシル
Hollow Fossil,中空のフォッシル
Fractured Fossil,粉砕されたフォッシル
Glyphic Fossil,浮き彫りのフォッシル
Tangled Fossil,もつれのあるフォッシル
Sanctified Fossil,聖別されたフォッシル
Gilded Fossil,金色のフォッシル
Primitive Alchemical Resonator,素朴な錬金術のレゾネーター
Potent Alchemical Resonator,効果的な錬金術のレゾネーター
Powerful Alchemical Resonator,強力な錬金術のレゾネーター
Prime Alchemical Resonator,極上の錬金術のレゾネーター
Primitive Chaotic Resonator,素朴な混沌のレゾネーター
Potent Chaotic Resonator,効果的な混沌のレゾネーター
Powerful Chaotic Resonator,強力な混沌のレゾネーター
Prime Chaotic Resonator,極上の混沌のレゾネーター
Flesh Catalyst,肉体のカタリスト
Neural Catalyst,神経のカタリスト
Carapace Catalyst,甲羅のカタリスト
Uul-Netol's Catalyst,ウール・ネトルのカタリスト
Xoph's Catalyst,ゾフのカタリスト
Tul's Catalyst,トゥルのカタリスト
Esh's Catalyst,エシュのカタリスト
Chayula's Catalyst,チャユラのカタリスト
Reaver Catalyst,強奪者のカタリスト
Sibilant Catalyst,歯擦音のカタリスト
Skittering Catalyst,軽快のカタリスト
Adaptive Catalyst,適応のカタリスト
Necrotic Catalyst,死霊術のカタリスト
Refined Flesh Catalyst,精製された肉体のカタリスト
Refined Neural Catalyst,精製された神経のカタリスト
Refined Carapace Catalyst,精製された甲羅のカタリスト
Refined Uul-Netol's Catalyst,精製されたウール・ネトルのカタリスト
Refined Xoph's Catalyst,精製されたゾフのカタリスト
Refined Tul's Catalyst,精製されたトゥルのカタリスト
Refined Esh's Catalyst,精製されたエシュのカタリスト
Refined Chayula's Catalyst,精製されたチャユラのカタリスト
Refined Reaver Catalyst,精製された強奪者のカタリスト
Refined Sibilant Catalyst,精製された歯擦音のカタリスト
Refined Skittering Catalyst,精製された軽快のカタリスト
Refined Adaptive Catalyst,精製された適応のカタリスト
Refined Necrotic Catalyst,精製された死霊術のカタリスト
Time-light Scroll,時と光の巻物
Fragmentation Scroll,分裂の巻物
Deregulation Scroll,抑制緩和の巻物
Electroshock Scroll,電気ショックの巻物
Haemocombustion Scroll,血液爆破の巻物
Specularity Scroll,鏡面の巻物
Facetor's Lens,宝石加工のレンズ
Ritual Splinter,リチュアルスプリンター
Ritual Vessel,リチュアルの器
Lesser Eldritch Ember,エルドリッチエンバー (小 )
Greater Eldritch Ember,エルドリッチエンバー (大 )
Grand Eldritch Ember,エルドリッチエンバー (特大 )
Exceptional Eldritch Ember,エルドリッチエンバー (希少 )
Lesser Eldritch Ichor,エルドリッチイコル (小 )
Greater Eldritch Ichor,エルドリッチイコル (大 )
Grand Eldritch Ichor,エルドリッチイコル (特大 )
Exceptional Eldritch Ichor,エルドリッチイコル (希少 )
Orb of Conflict,対立のオーブ
Uncarved Gemstone,未彫刻の原石
MTX Wrapper,MTX包装
Mystery Box,ミステリーボックス
Dance - Duelist,踊り - デュエリスト
Dance - Marauder,踊り - マローダー
Dance - Ranger,踊り - レンジャー
Dance - Shadow,踊り - シャドウ
Dance - Templar,踊り - テンプラー
Dance - Witch,踊り - ウィッチ
Dance - Scion,踊り - サイオン
Hidden Item,隠れアイテム
Wrapped Gift,包装紙に包まれたギフト
Keyblade,キーブレード
Golden Blade,ゴールデンブレード
Fishing Rod,釣り竿
Golden Hoop,黄金の指輪
Golden Obi,金の帯
Golden Flame,黄金の炎
Golden Wreath,黄金の花冠
Golden Visage,黄金の顔飾り
Golden Mantle,黄金の外套
Golden Caligae,黄金のカリガ
Golden Bracers,黄金のブレーサー
Shaper's Orb (Tier 1),シェイパーオーブ (ティア1)
Shaper's Orb (Tier 2),シェイパーオーブ (ティア2)
Shaper's Orb (Tier 3),シェイパーオーブ (ティア3)
Shaper's Orb (Tier 4),シェイパーオーブ (ティア4)
Shaper's Orb (Tier 5),シェイパーオーブ (ティア5)
Shaper's Orb (Tier 6),シェイパーオーブ (ティア6)
Shaper's Orb (Tier 7),シェイパーオーブ (ティア7)
Shaper's Orb (Tier 8),シェイパーオーブ (ティア8)
Shaper's Orb (Tier 9),シェイパーオーブ (ティア9)
Shaper's Orb (Tier 10),シェイパーオーブ (ティア10)
Elder's Orb,エルダーオーブ
The Shaper's Key,シェイパーの鍵
Memory Fragment I,記憶のフラグメントI
Memory Fragment II,記憶のフラグメントII
Memory Fragment III,記憶のフラグメントIII
Memory Fragment IV,記憶のフラグメントIV
Memory Fragment V,記憶のフラグメントV
Memory Fragment VI,記憶のフラグメントVI
Memory Fragment VII,記憶のフラグメントVII
Memory Fragment VIII,記憶のフラグメントVIII
Memory Fragment IX,記憶のフラグメントIX
Memory Fragment X,記憶のフラグメントX
Memory Fragment XI,記憶のフラグメントXI
Memory Fragment XII,記憶のフラグメントXII
Memory Fragment XIII,記憶のフラグメントXIII
Memory Fragment XIV,記憶のフラグメントXIV
Memory Fragment XV,記憶のフラグメントXV
Book of Skill,スキルの書
Book of Regrets,後悔の書
Book of Regression,退行の書
Atlas Book of Skill,アトラススキルの書
Crystalline Core of Knowledge I,知識の結晶の核 I
Crystalline Core of Knowledge II,知識の結晶の核 II
Crystalline Core of Knowledge IV,知識の結晶の核 IV
Crystalline Core of Knowledge V,知識の結晶の核 V
Crystalline Core of Knowledge III,知識の結晶の核 III
Crystalline Core of Knowledge VII,知識の結晶の核 VII
Crystalline Core of Knowledge VIII,知識の結晶の核 VIII
Crystalline Core of Knowledge X,知識の結晶の核 X
Crystalline Core of Knowledge XI,知識の結晶の核 XI
Crystalline Core of Knowledge XIII,知識の結晶の核 XIII
Crystalline Core of Knowledge XIV,知識の結晶の核 XIV
Crystalline Core of Knowledge VI,知識の結晶の核 VI
Book of Unique Knowledge I,特異な知識の書 I
Book of Unique Knowledge II,特異な知識の書 II
Book of Unique Knowledge III,特異な知識の書 III
Book of Unique Knowledge IV,特異な知識の書 IV
Book of Unique Knowledge V,特異な知識の書 V
Otherworldly Book of Knowledge I,異世界の知識の書 I
Otherworldly Book of Knowledge II,異世界の知識の書 II
Otherworldly Book of Knowledge III,異世界の知識の書 III
Otherworldly Book of Knowledge IV,異世界の知識の書 IV
Ritualistic Book of Knowledge I,リチュアルの知識の書 I
Ritualistic Book of Knowledge II,リチュアルの知識の書 II
Ritualistic Book of Knowledge III,リチュアルの知識の書 III
Ritualistic Book of Knowledge IV,リチュアルの知識の書 IV
Runic Book of Knowledge I,ルーンの知識の書 I
Runic Book of Knowledge II,ルーンの知識の書 II
Runic Book of Knowledge III,ルーンの知識の書 III
Runic Book of Knowledge IV,ルーンの知識の書 IV
Deranging Book of Knowledge I,錯乱の知識の書 I
Deranging Book of Knowledge II,錯乱の知識の書 II
Deranging Book of Knowledge III,錯乱の知識の書 III
Deranging Book of Knowledge IV,錯乱の知識の書 IV
Lightless Book of Knowledge I,光なきものの知識の書 I
Lightless Book of Knowledge II,光なきものの知識の書 II
Lightless Book of Knowledge III,光なきものの知識の書 III
Lightless Book of Knowledge IV,光なきものの知識の書 IV
Vanquisher's Book of Knowledge I,征服者の知識の書 I
Vanquisher's Book of Knowledge II,征服者の知識の書 II
Vanquisher's Book of Knowledge III,征服者の知識の書 III
Vanquisher's Book of Knowledge IV,征服者の知識の書 IV
Vanquisher's Book of Knowledge V,征服者の知識の書 V
Arbiter's Book of Knowledge I,アービターの知識の書 I
Arbiter's Book of Knowledge II,アービターの知識の書 II
Arbiter's Book of Knowledge III,アービターの知識の書 III
Arbiter's Book of Knowledge IV,アービターの知識の書 IV
Head of the King,王の首
Breachlord Sac,ブリーチロードの供物
Vault Key,金庫の鍵
Blood Crucible,血の坩堝
Dream Furnace,夢の火炉
Viscera Cauldron,臓物の大釜
Master Key,マスターキー
Stone of Passage,通過の石鍵
Flashpowder Keg,爆薬の樽
Ice Nova,アイスノヴァ
Leap Slam,リープスラム
Molten Crash,モルテンクラッシュ
Shattering Spite,シャタリングスパイト
Shield Charge,シールドチャージ
Raise Zombie,ゾンビ蘇生
Detonate Dead,デトネートデッド
Volatile Dead,ボラタイルデッド
Flicker Strike,フリッカーストライク
Spark,スパーク
Spectre: {0},スペクター: {0}
Frost Wall,フロストウォール
Enervating Nova,エナヴェイティングノヴァ
Temporal Chains,テンポラルチェーン
Enfeeble,エンフィーブル
Sniper's Mark,スナイパーの呪印
Despair,ディスペア
Lightning Warp,ライトニングワープ
His Vile Intrusion,ヒズヴァイルイントリュージョン
Skeletal Sniper,スケルトンスナイパー
Skeletal Reaver,スケルトンリーバー
Skeletal Brute,スケルトンブルート
Skeletal Frost Mage,スケルトンフロストメイジ
Skeletal Storm Mage,スケルトンストームメイジ
Skeletal Arsonist,スケルトンアーソニスト
Skeletal Cleric,スケルトンクレリック
Azmerian Wolf,アズメリウルフ
Mist Raven,ミストレイヴン
Spiraling Conspiracy,スパイラリングコンスピラシー
Armour Breaker,アーマーブレイカー
Rain of Arrows,レインオブアロー
Firestorm,ファイヤーストーム
Falling Thunder,フォーリングサンダー
Power Siphon,パワーサイフォン
Lightning Arrow,ライトニングアロー
Arc,アーク
Discipline,ディシプリン
Shockwave Totem,ショックウェーブトーテム
Arctic Armour,アークティックアーマー
Virtuous Barrier,ヴァーチュアスバリア
Flammability,フラマビリティ
Hypothermia,ハイポサーミア
Conductivity,コンダクティビティ
Incinerate,インシネレート
Purity of Fire,ピュリティオブファイヤー
Purity of Ice,ピュリティオブアイス
Purity of Lightning,ピュリティオブライトニング
Impurity,インピュリティ
Flameblast,フレイムブラスト
Barrage,バラージ
Ball Lightning,ボールライトニング
Bone Offering,ボーンオファリング
Herald of Ash,ヘラルドオブアッシュ
Herald of Ice,ヘラルドオブアイス
Herald of Thunder,ヘラルドオブサンダー
Blasphemy,ブラスファミー
Infernal Cry,インファーナルクライ
Seismic Cry,サイズミッククライ
Rolling Magma,ローリングマグマ
Frost Bomb,フロストボム
Orb of Storms,オーブオブストーム
Earthquake,アースクエイク
Contagion,コンテージョン
Wither,ウィザー
Essence Drain,エッセンスドレイン
Sunder,サンダー
Frostbolt,フロストボルト
Dark Pact,ダークパクト
Abyssal Pact,アビサルパクト
Vulnerability,ヴァルネラビリティ
Soulrend,ソウルレンド
Close Combat I,近距離戦闘 I
Close Combat II,近距離戦闘 II
Plague Bearer,プレイグベアラー
Siege Ballista,シージバリスタ
Earthshatter,アースシャッター
Sigil of Power,シギルオブパワー
Rite of Restoration,ライトオブレストレーション
Flame Wall,フレイムウォール
Hexblast,ヘックスブラスト
Exsanguinate,イグザングイネイト
Reap,リープ
Boneshatter,ボーンシャッター
Eye of Winter,アイオブウィンター
Tornado,トルネード
Lightning Conduit,ライトニングコンジット
Galvanic Field,ガルヴァニックフィールド
Volcanic Fissure,ヴォルカニックフィッシャー
Rapid Assault,ラピッドアサルト
Disengage,ディスエンゲージ
Blood Hunt,ブラッドハント
Whirling Slash,ワーリングスラッシュ
Spearfield,スピアフィールド
Demon Magus,デーモンメーガス
Lightning Spear,ライトニングスピア
Glacial Lance,グレイシャルランス
Whirling Assault,ワーリングアサルト
Rolling Slam,ローリングスラム
Escape Shot,エスケープショット
Supercharged Slam,スーパーチャージドスラム
Wind Blast,ウィンドブラスト
Wave of Frost,ウェーブオブフロスト
Ice Strike,アイスストライク
Maul,モール
Rend,レンド
Chaos Bolt,カオスボルト
Coiling Bolts,コイリングボルト
Firebolt,ファイヤーボルト
Timeless Jewel,タイムレスジュエル
Ruby,ルビー
Emerald,エメラルド
Sapphire,サファイア
Diamond,ダイヤモンド
Time-Lost Ruby,タイムロストルビー
Time-Lost Emerald,タイムロストエメラルド
Time-Lost Sapphire,タイムロストサファイア
Time-Lost Diamond,タイムロストダイヤモンド
Blank Rune,空白のルーン
Blank Greater Rune,空白のグレータールーン
Desert Rune,砂漠のルーン
Glacial Rune,氷河のルーン
Storm Rune,嵐のルーン
Iron Rune,鉄のルーン
Body Rune,肉体のルーン
Mind Rune,精神のルーン
Rebirth Rune,復活のルーン
Inspiration Rune,鼓舞のルーン
Stone Rune,石のルーン
Vision Rune,先見のルーン
Lesser Desert Rune,砂漠のレッサールーン
Lesser Glacial Rune,氷河のレッサールーン
Lesser Storm Rune,嵐のレッサールーン
Lesser Iron Rune,鉄のレッサールーン
Lesser Body Rune,肉体のレッサールーン
Lesser Mind Rune,精神のレッサールーン
Lesser Rebirth Rune,復活のレッサールーン
Lesser Inspiration Rune,鼓舞のレッサールーン
Lesser Stone Rune,石のレッサールーン
Lesser Vision Rune,先見のレッサールーン
Greater Desert Rune,砂漠のグレータールーン
Greater Glacial Rune,氷河のグレータールーン
Greater Storm Rune,嵐のグレータールーン
Greater Iron Rune,鉄のグレータールーン
Greater Body Rune,肉体のグレータールーン
Greater Mind Rune,精神のグレータールーン
Greater Rebirth Rune,復活のグレータールーン
Greater Inspiration Rune,鼓舞のグレータールーン
Greater Stone Rune,石のグレータールーン
Greater Vision Rune,先見のグレータールーン
Perfect Desert Rune,砂漠のパーフェクトルーン
Perfect Glacial Rune,氷河のパーフェクトルーン
Perfect Storm Rune,嵐のパーフェクトルーン
Perfect Iron Rune,鉄のパーフェクトルーン
Perfect Body Rune,肉体のパーフェクトルーン
Perfect Mind Rune,精神のパーフェクトルーン
Perfect Rebirth Rune,復活のパーフェクトルーン
Perfect Inspiration Rune,鼓舞のパーフェクトルーン
Perfect Stone Rune,石のパーフェクトルーン
Perfect Vision Rune,先見のパーフェクトルーン
Lesser Robust Rune,強固のレッサールーン
Robust Rune,強固のルーン
Greater Robust Rune,強固のグレータールーン
Perfect Robust Rune,強固のパーフェクトルーン
Lesser Adept Rune,熟達のレッサールーン
Adept Rune,熟達のルーン
Greater Adept Rune,熟達のグレータールーン
Perfect Adept Rune,熟達のパーフェクトルーン
Lesser Resolve Rune,決意のレッサールーン
Resolve Rune,決意のルーン
Greater Resolve Rune,決意のグレータールーン
Perfect Resolve Rune,決意のパーフェクトルーン
Lesser Tempered Rune,鍛錬のレッサールーン
Tempered Rune,鍛錬のルーン
Greater Tempered Rune,鍛錬のグレータールーン
Greater Rune of Leadership,統率力のグレータールーン
Greater Rune of Tithing,十分の一税のグレータールーン
Greater Rune of Alacrity,積極性のグレータールーン
Greater Rune of Nobility,高潔なグレータールーン
Hedgewitch Assandra's Rune of Wisdom,ヘッジウィッチ・アサンドラの知恵のルーン
Saqawal's Rune of the Sky,サカワルの空のルーン
Fenumus' Rune of Agony,フィヌムスの苦痛のルーン
Farrul's Rune of Grace,ファルウルの気品のルーン
Farrul's Rune of the Chase,ファルウルの追跡のルーン
Craiceann's Rune of Warding,クレイシアンの守りのルーン
Saqawal's Rune of Memory,サカワルの記憶のルーン
Saqawal's Rune of Erosion,サカワルの浸食のルーン
Farrul's Rune of the Hunt,ファルウルの狩りのルーン
Craiceann's Rune of Recovery,クレイシアンの回復のルーン
Courtesan Mannan's Rune of Cruelty,宮廷女官マンナンの残虐のルーン
Thane Grannell's Rune of Mastery,族長グラネルの熟達のルーン
Fenumus' Rune of Spinning,フィヌムスの紡績のルーン
Countess Seske's Rune of Archery,セスケ女伯爵の弓のルーン
Thane Girt's Rune of Wildness,族長ガートの野生のルーン
Fenumus' Rune of Draining,フィヌムスの吸収のルーン
Thane Myrk's Rune of Summer,族長ミュルクの夏のルーン
Lady Hestra's Rune of Winter,ヘストラ婦人の冬のルーン
Thane Leld's Rune of Spring,族長レルドの春のルーン
The Greatwolf's Rune of Claws,大狼の鉤爪のルーン
The Greatwolf's Rune of Willpower,大狼の意志力のルーン
Masterwork Rune,傑作のルーン
Idol of Sirrius,シリウスのアイドル
Idol of Thruldana,スルルダーナのアイドル
Idol of Grold,グロルドのアイドル
Idol of Eeshta,イーシュタのアイドル
Idol of Egrin,エグリンのアイドル
Idol of Maxarius,マクサリウスのアイドル
Idol of Ralakesh,ララケシュのアイドル
Idol of Greust,グルーストのアイドル
Idol of Yeena,イーナのアイドル
Idol of Eramir,エラミアのアイドル
Idol of Oak,オークのアイドル
Idol of Alira,アリラのアイドル
Idol of Kraityn,クライティンのアイドル
Idol of Silk,シルクのアイドル
Idol of the Sycophant,へつらう者のアイドル
Idol of the Martyr,殉教者のアイドル
Idol of the Pharisee,パリサイ人のアイドル
Panther Idol,ヒョウのアイドル
Hawk Idol,タカのアイドル
Stoat Idol,オコジョのアイドル
Hayoxi's Soul Core of Heatproofing,ハヨキの耐熱のソウルコア
Zalatl's Soul Core of Insulation,ザラトルの絶縁のソウルコア
Topotante's Soul Core of Dampening,トポタンテの軽減のソウルコア
Atmohua's Soul Core of Retreat,アトモフアの退却のソウルコア
Quipolatl's Soul Core of Flow,キポラトルの流れのソウルコア
Tzamoto's Soul Core of Ferocity,ザモトの凶暴性のソウルコア
Uromoti's Soul Core of Attenuation,ウルモティの希薄化のソウルコア
Opiloti's Soul Core of Assault,オピロティの強襲のソウルコア
Guatelitzi's Soul Core of Endurance,グアテリッツィの忍耐のソウルコア
Xopec's Soul Core of Power,ゾペックの力のソウルコア
Estazunti's Soul Core of Convalescence,エスタザンティの再起のソウルコア
