source,translation
"His final sensation was of the executioner's blade.
It was not cold, instead warm and reassuring,
murmuring a promise of better times ahead.
Smiling, he returned death's embrace.","彼の最後の感覚は処刑人の刃だった。
それは冷たくなく、暖かく安心するもので、
より良い未来の約束を呟いた。
彼は微笑み、死の抱擁を返した。"
"She paints her offer in wicked hues
An off-white grin, an elegant bruise.
To the nascent scourge she sings the ruse:
""With me in hand, what else need you use?""","邪悪な色で申し出を塗装
黄ばんだ笑顔に、優美な負傷
生まれたての災厄に企みを歌う
「私を手に、他に何が要ろう？」"
Nothing stops the pain like a courageous rush into battle.,勇敢な突撃ほど有効な痛み止めはない。
"""Prototype #7 achieved even greater injury responsiveness than expected,
though at considerable cost to the long-term survival rate of the user.""","「プロトタイプ7号は期待以上の外傷への反応を示したが、
使用者の長期的生存率に多大な代償を要した」"
A swift mind solves problems before they occur.,迅速な頭脳は問題を発生前に解決する。
The malice in her gaze froze blood and shattered bone.,彼女の視線の悪意は血を凍らせ骨を砕いた。
"Cast into darkness
And trapped for a thousand years,
The lonely moon weeps","闇へと捨てられ
一千年閉じ込められ
孤独な月は泣いている"
"""Should I depart this mortal coil,
so shall all of my treasures.""
- Atziri, Queen of the Vaal","「我がこの世から旅立ったならば、
我が宝全てが共に来るのだ」
―ヴァールの女王アッツィリ"
"Swift as thought are the actions of Man
when borne on wings of divine providence.","天意の翼に運ばれた時、
人の行動は神速となる。"
"When blood is paid, the weak think twice.",支払いが血で行われる時、弱者は熟考する。
From death springs life.,生は死から生まれる。
"Lumbering as a sea lion, clumsy as a berry-drunk pigeon. That was Erqi.
It mattered little. When Erqi's maul fell true, so did its target.","アシカのように鈍く、木の実に酔った鳩のようにぎこちない。それがアーキだった。
関係なかった。アーキの大鎚が地面に振り下ろされた時、その標的も後を追った。"
"Forged from the blood of countless wars,
its thirst has only begun.","無数の戦で流れた血から鍛えられしそれの
渇きは始まったばかりだ。"
"Ride with pride,
strike with vengeance,
live with honour.","誇りを持って走り、
復讐心を持って攻撃し、
名誉を持って生きよ。"
"Fly like a Storm Crow, crush like a Rhoa",鴉のように飛び、ロアのように押し潰せ。
Do not let them step on your feet. Keep them at bay.,足を踏ませるな。寄せ付けるな。
"Unwieldy and garish became graceful
and deadly in Ungil's nimble hands.","かさばって不格好はウンギルの器用な
手の中では優美で危険になる。"
"""Recommend further production of Prototype #122. It makes
an ideal weapon for our suppression troops and guards.""","「プロトタイプ122号の生産の継続を推奨。
鎮圧兵や衛兵の武器として理想的である」"
The wyrm draws warmth from the fires of desire.,竜は欲望の炎で暖を取る。
"The dead man walks where
the living fear to tread.","死者は生者が恐れて
歩かぬ場所を歩く。"
"""Outpost Twelve has been abandoned. On the bright side, I expect the plague of apparitions
to serve as ample defence for the relics we left behind.""
- Administrator Qotra","「第十二研究所は放棄されました。前向きに考えるならば、
霊の軍団は我らが置いていった遺物を十分に守ってくれることでしょう」
―管理者クォトラ"
"""I know how to say 'faster' and 'attack'
in Karui, Marak and Ezo.""
- Voll of Thebrus","「カルイ語で『もっと速く』と『攻撃』
の言い方を知っているぞ、マラクとエゾだ」
―シブラスのヴォール"
"Shavronne's apparel became ever more extravagant
as her body and soul became ever more corrupted.","シャヴロンの肉体と魂がどこまでも堕ちていく中、
彼女の衣服はどこまでも豪華になっていった。"
"""The rain of a thousand quills that whittle
present into past, life into death.""
- Rigwald of the Ezomytes","「一千の羽の雨が今を過去へと、
生を死へと削いでいく」
ーエゾミアの民のリグワルド"
"""How did you manage to lodge arrows in every single test subject
and researcher in Lab Three simultaneously?""
- Doctor Bircus","「一体どうやって第三実験室の全ての被検体と
研究者に同時に矢を刺したんだ？」
―バーカス医師"
"""The Spirit of War knows nothing of good and evil.
It knows only destruction.""
- Sekhema Asenath","「戦の精霊は全や悪のことは知らぬ。
知っているのは破壊だけだ」
―セケマ・アセナス"
"Swinging through the air, it sings
of sundered, severed, missing things.","それは歌う、空中を閃いて
切られ、断たれ、失われたものについて。"
Cursed is the star whence it came.,呪われしはそれがいた星。
"A chilling hush, a scraping sound
Of things no more entombed in ground.
A shambling horde is on its way
To crush the very light of day.","寒気のする静寂、這いずる音
かつて地面に埋められていた者
よろめく軍団がやってくる
日光を消しにやってくる"
"""Simply incredible. I caught an escaping test subject myself with
swarms of burning skulls. Delightful!""
- Researcher Olesya","「素晴らしいわ。燃える骸骨の群れを率いて
逃げ出した被検体を捕まえたの。素敵ね！」
―研究者オリーシャ"
"As a soldier you want to get close to enemy archers.
That is not the case when fighting the Maraketh.","兵士としては敵の弓兵に近づくのが良い。
マラケスと戦う時はその限りではないが。"
"Alive but not unscathed, Victario fled
as slaughter blossomed at the gates.","門で殺戮が幕開けるた時、ヴィクタリオは
命からがら逃げ出した。"
It is safer to be feared than to be loved.,愛されるよりは恐れられるほうが安全だ。
"I'm hiding, yet everyone knows where I am.",私は隠れているが、皆が私の居場所を知っている。
The blasted oak stands forever.,爆破された樫はいつまでも立っている。
He who sows an ember shall reap an inferno.,火種を蒔いた者は業火を収穫するだろう。
"Mark us with mercy, then press on with care,
Execute us steadily, notch away at our despair.","我らに慈悲を与えるならば、注意して進みたまえ
我らを堅実に処刑するならば、我らの絶望を刻み取るだろう。"
"""How did you manage to lodge arrows in every single test subject
and researcher in Lab Three simultaneously... again?""
- Doctor Bircus","「一体どうやって第三実験室の全ての被検体と
研究者に同時に矢を刺したんだ……二度も？」
―バーカス医師"
"The darkest clouds clashed and coupled,
giving birth to four lightning children of hate.","暗すぎる雲はぶつかり番い合い、
四人の憎しみの雷の子を生んだ。"
"A mighty bulwark, curved and strong
A dauntless wall, against the throng
All lance and arrow, knocked aside
For rout of foe, for turn of tide.","強大な城壁は力強い曲線で
群衆に対峙しても怯まない砦
全ての槍も矢も脇へと弾き
屠りしは敵、乗り越えしは危機"
"Its corrugated surface brings a strange tingle
to the fingertips. This is no mere decoration.","その波状の表面は指先に奇妙な刺激をもたらした。
これは単なる飾りではなさそうだ。"
"When put to the ear it whispers not of
the sea, but long dead incantations.","それは耳に当てると波のさざめきではなく、
忘れられて久しい呪文を囁く。"
"Its pleasing sheen remains even in shadow,
as if it were somehow lit from within.","それはまるで内から照らされているかのように
影の中でも心地よく輝く。"
"Distilled from naked ambition and unfettered obsession,
the Allflame emanates a silvern warmth like no other,
and engulfs those moths fool enough to embrace it.","飾らぬ野望と縛られぬ妄執から蒸留されたオールフレイムは
他では見られぬ銀色のぬくもりを発し、
それを抱こうとする愚かな蛾を飲み込んでしまう。"
"Doctor ""Shaky Hands"" Opden travelled with only the
finest medicines and antidotes... and a curiously
generous supply of opiates.","「震える手」のオプデン医師は最高級の薬と
解毒薬のみを持ち歩いていた...それと奇妙に
潤沢なアヘン剤を。"
"Maligaro loved his tools, and took great
pains to keep them excruciatingly sharp.","マリガロは自分の道具を愛しており、それらを
痛々しいほど鋭く保つために苦心していた。"
"The withering glare of corruption, made
corporeal and pellucid in crystal.","萎縮するような腐敗の視線は結晶化し、
実体を得て露わになった。"
"Machinery makes the minions.
Minions make the master.","機械が眷属を作り、
眷属が主を作る。"
"Essence of pure thaumaturgy.
Apply with trepidation.","純粋な魔術のエキス。
恐怖して適用すること。"
"A craftswoman's ode to
fresh hope, a new love.","新たなる希望、新たなる愛への
女職人の頌歌。"
"Segregated by treachery, this artefact
longs to be reunited with her sisters.","裏切りにより隔離されたこの遺物は
姉妹と再会することを待ち焦がれている。"
"While this artefact resonates with power,
it is simply a piece in a larger puzzle.","この遺物は力で振動しているが、
より大きなパズルの欠片に過ぎない。"
"A relic of a sundered relationship,
it awaits reconciliation with its kin.","この打ち砕かれた繋がりの名残は
家族との再会を待っている。"
"Though its power has been shared, there
is still more the Apex might unlock.","既にその力は与えられたが、エイペックスが
解放できるものはまだありそうだ。"
"An open palm raised in peace,
cut down by the slaves of war.","平和の中で挙げられた掌は
戦の奴隷共に切り倒された。"
"""A Virtue Gem is a raging thunderstorm imprisoned within a single raindrop.
Infernal Talc simply lets the storm out."" - Malachai the Soulless","「美徳の宝石は一つの雨粒に封じられた荒れ狂う雷雨だ。
インファーナルタルクはその嵐を解放するだけだ。」―魂なきマラカイ"
"To enter a city's bowels is to be
privy to its best-kept secrets.","都市の暗部に侵入するというのは
その最大の秘密を知るということだ。"
"God will only offer the door.
Man must choose whether to open it.","神は扉を与えるだけだ。
それを開くかどうかを選ぶのは人だ。"
"The Emperor honours Hector Titucius as Supreme Servant.
""Strength in purpose is strength in deed.""","皇帝はヘクター・ティトゥシウスに最高臣下の名誉を与えている。
「目的の強さは行動の強さである」"
"The Emperor honours Gaius Sentari as Supreme Servant.
""A man's thoughts are his shackles. A man's thoughts are his wings.""","皇帝はガイウス・センタリに最高臣下の名誉を与えている。
「人の思考は彼の枷である。人の思考は彼の翼である」"
"The Emperor honours Marceus Lioneye as Supreme Servant.
""The road to Glory is paved with Sacrifice.""","皇帝はマルセウス・ライオンアイに最高臣下の名誉を与えている。
「栄光への道は犠牲によって舗装されている」"
"To catch an animal, think like an animal.",獣を捕らえるには、獣のように考えることだ。
"Shed by the winged beast of night,
A scaly frost-encrusted thorn.
All who feel its wintry light
Shiver in pain at the frozen dawn.","有翼の夜獣が落したる
鱗と霜に覆われし棘
冬の光を感じ震える
凍れる夜明けの冷痛で"
No metal slips as easily through the fingers as gold.,金ほど取りこぼしやすい金属はない。
"Born from the marriage of ice and sky,
the aurora evokes both awe and power.","氷と空の結婚から生まれしオーロラは
畏怖と力を喚起する。"
"Knowledge brings power, and with power you can
grab truth by the throat and shape it as you wish.","知は力、そして力があれば
真実の喉元を掴み自由に作り変えられる。"
"My Soul is your Strength
My Price is your Blood","我が魂は其方の力
我が要求は其方の血"
"Despair hums, softly, deadly, in the bones of my enemies.
Eyes will burn, and souls wither, as they bask in my radiance.","絶望が我が敵の骨の中で優しく危険に響いている。
我が威光に晒された者たちの目は燃え、魂は枯れるだろう。"
"Fear blisters the heart and thins the blood.
Fear squeezes lungs and sets the guts to fester.
Fear is the wound left untended.","恐怖は心臓を焼き血を薄める。
恐怖は肺を締めつけ臓物を化膿させる。
恐怖とは治療されなかった傷だ。"
"The nobles wanted to take her throne.
She let the peasants take their wealth.
The peasants wanted to take her wealth.
She let the soldiers take their heads.
The soldiers wanted to take her head.
She sat on her throne and wept.","貴族は彼女の王座を望んだ。
彼女は平民に彼らの富を奪わせた。
平民は彼女の富を望んだ。
彼女は兵士達に彼らの首を奪わせた。
兵士たちは彼女の首を望んだ。
彼女は王座に座り、泣いた。"
"""As long as I see death in my mirror, so will Wraeclast.""
- Atziri, Queen of the Vaal","「我が鏡に死が映り続ける限り、レイクラストも死を見ることになる」
―ヴァールの女王アッツィリ"
"To cease the flow of blood is to
choke the rain in the very clouds.
Both life and land feel the thirst.","血の流れを止めることは
雲々の雨をせき止めることだ。
生命も大地も渇くことになる。"
"Centuries of development in steel armoursmithing
turned the armies of the Eternal Empire
into very effective lightning rods.","何世紀もの鋼鉄製の鎧造りの発展は
永遠なる帝国の軍隊を
非常に効果的な避雷針と化した。"
"To stand triumphant you must serve
no master other than your own ambition.","勝利するためには自身の野望以外の
主に仕えてはならない。"
"You carried me through life,
The least I can do is carry you through death.","其方は人生において私を運んでくれた。
私にできるささやかなお返しは死において其方を運ぶことだ。"
"A heart can be stabbed by thoughts,
If your mind is sharp enough.","頭脳が十分鋭いならば、
思考で心臓を貫くことさえできよう。"
"""There is something incredibly satisfying about impaling test
subjects with Ethereal Knives. Perhaps it is the sound -
the spell, the screams, or both.""  - Researcher Olesya","被検体を霊体の刃で貫くことには得も言われぬ満足感がある。
その原因は音かもしれない―呪文の、あるいは叫び声の、あるいは両方の。
―研究者・オリーシャ"
"Whispers from a world apart
Speak my name beyond the tomb;
Bound within the Maelström's heart,
Will they grant me strength or doom?","離れた世界の囁きが
墓から呼ぶのは我の名か
渦中に縛られし者たちが
与えるは力か滅亡か？"
"""...The discomfort shown by the others is amusing, but none
can deny that my work has made quite the splash...""
- Maligaro's Journal","「...皆の不快感は愉快だが、我が作品が
波紋を起こしたことは誰にも否定のしようがない...」
―マリガロの手記"
"Existence is infinite
A weave of the living and dead
Beyond the understanding
Of the many mortal threads","存在は無限
生者と死者の織物
多くの人の糸の
理解を越えたもの"
"Fire dances with those who doubt
Licks the skin and flesh from the fearful
Where there is no fear
There is no flame","炎は疑う者と踊る
恐れる者の肌と肉を炙る
恐れなき所に
炎は立たず"
"For his sins he was hunted in his sleep,
judgement wrought of twisted nightmare.
The Coward bound his dreams to stone, awaiting
another to walk the path of true atonement.","罪を罰するため彼は眠りの中で追われた
捻れた悪夢から造られた裁き。
臆病者は夢を石に縛り
真の贖罪の道を歩む者を待った。"
"Left in her tomb by the lynch mob,
the flame inside still blazed bright after her death,
and so did hers.","暴徒によって墓に捨てられた
彼女の死後も内なる火は明るく燃え続けた。
彼女の中の火も。"
"""The Vaal were even more steeped in gem culture than
our Emperor and his 'Gemlings'. It's an obsession
as old as civilisation itself.""
- Icius Perandus","「ヴァールは我らの皇帝と彼の『ジェムリング』達よりも更に
魔石文化に浸かっていた。文明と同じくらい古い
妄執だよ。」
―イシウス・ペランダス"
"""A communion... but with what? By all accounts,
it wasn't God that the Vaal were trying to reach.""
- Icius Perandus","「交信...しかし何と？どの情報源を当たっても、
ヴァールが接触しようとしていたのは神ではなかった」
―イシウス・ペランダス"
"""A waking Nightmare.
Madness of the mind?
Or madness of the flesh?""
- Icius Perandus","「目覚めながらにして悪夢だ。
頭が狂ったのか？
それとも肉体が狂ったのか？」
―イシウス・ペランダス"
"""Siosa, your Slavery will cause them to overlook you.
Your Karui Way will guide you.
Your Humanity will shame us all.""
- Icius Perandus","「シオサ、其方の隷属は奴らから其方を隠すだろう。
其方のカルイの道は其方を導くだろう。
其方の人間性は我らを辱めるだろう」
―イシウス・ペランダス"
"Curious, she shook it then,
And tiny screams emerged.
Curiouser, she shook again,
And an eerie silence purred.","不思議がって、彼女がそれを振ると
小さな叫びが上がった。
もっと不思議がって、彼女が再び振ると
不気味な静寂が鳴いた。"
"There was no hero made out of Starkonja's death,
but merely a long sleep made eternal.","スターコンジャの死から英雄は生まれず、
長き眠りが永遠となっただけだった。"
"""Man is blinded by the mud of his corporeal self. Only
through the transformation of the material into the
spiritual can we hope to taste the full body of life.""
- Malachai the Soulless","「人は自身の肉体の泥で盲目になっている。
物質を精神に変換させることでのみ
我らは生命の全体を味わうことができよう」
―魂なきマラカイ"
"As succulent as blood, as sweet as power.",血のように汁気があり、力のように甘い。
A sigil of thaumaturgy graven in granite.,花崗岩に刻まれた魔術の印。
"""For the life of the flesh will always be in the blood.""
- Atalui, Vaal Priestess","「肉体の生命はいつだって血の中にあるのだから」
―ヴァールの神官アタルイ"
"The faithful may continue to serve, even after death.",忠実な者たちは仕え続けても良い。死後でさえも。
"Nature respects the strong
And paints the snow red
With the blood of the weak","自然は強者を敬い
弱者の血を用いて
雪を赤く染める"
"""Test subject walked right through the poison gas defenses, and attempts to slow her
failed. Suppression troop six, the 'Furious Flagellants,' have been sent to intervene.""","「被検体は毒ガスの防衛機構を通り抜け、彼女を阻む試みは失敗した。
六番鎮圧隊、『怒れる鞭打者』が彼女を止めるために送り込まれた」"
"My bearer shall be guarded by flame,
for I am the phoenix, forever radiant in glory.","「我を持つ者は炎に守られるだろう。
我は不死鳥、永遠なる栄光の輝き」"
"The night of a thousand ribbons
To remember the day of a thousand flames
When Sarn burned
And was born again","「千の布の夜
サーンが燃え
生まれ変わった
千の炎の日を忘れぬために」"
"Forget your kite shield. Just put the biggest man
 in the field between you and the archers.","「カイトシールドは忘れろ。その場の一番でかい奴を
お前と弓兵の間に置け」"
"""They say that you should take life's troubles in your stride.
Some men have a longer stride than others.""
- Gaius Sentari","「人生の困難を運んで歩めと言われるが、
人より歩幅が大きい者もいる」
―ガイウス・センタリ"
"""Sirrius flew on wings of light, faster than wind, faster
than thought. But try as he might to outrun the darkness,
it was there, at every turn, waiting for him.""
- Azmerian legend","「シリウスは光の翼で飛んだ。風よりも、思考よりも疾く。
しかしどれだけ闇を振り切ろうとしても、それはそこにいた、
いつも彼を待ち構えて」
―アズメリの伝承"
"Forged to rule the waves and tide
Destined to serve the monkey's paw
Strong as a tower of iron
Deft as the needle doubt","波と潮を支配せんと造られた
猿の手に仕える使命持ち
鉄塔ほど強く
疑いの針ほど精密"
"When Solaris closes her burning eye
At the end of time,
the world will perish in ice.","ソラリスが彼女の燃える目を
時の終わりで閉じる時
世界は凍って滅びよう"
"The greatest mistakes cause suffering
long after they have been made","最大の過ちは犯されてから
ずっと後に不幸を引き起こす。"
"One warrior, any armour.",戦士は一人、鎧はどれでも。
Cool the head and cool the blade.,頭を冷やし刃を冷やせ。
"""You shall hang, in blissful agony, on my every note.""
- Kalisa, Prima Donna of Sarn","「私の奏でる音の一つ一つで、あなた達は至福の苦しみに悶えるでしょう」
―サーンのプリマドンナ、カリサ"
"""Our superiors were getting anxious for results, and lowered security standards.
A single attempt of a spell with this unexpected power destroyed an entire floor.""","「上役が結果を急いで、安全基準を下げたんだ。
この予期せぬ力を持った呪文を一回試みただけで階全体が破壊されたよ」"
"Death is beautiful. Let not the elements
mar it with their clumsy ways.","「死は美しい。不器用な元素に
汚されてはならない」"
Absolute corruption empowers absolutely.,絶対的な堕落は絶対的な力を与える。
"The roar of the heavens
Strikes more than fear
Into the hearts of Man","天の咆哮が
人の心に植え付けるのは
恐怖だけではない"
"The cards don't choose life and death
That's up to the player.","生と死を選ぶのはカードではない。
そこはプレイヤー次第だ。"
"A lad with no fear of the pest
Let rats fill his helmet in jest
When they picked his skull clean
Where his head should have been
Was naught but a vermin-filled nest!","病を恐れぬ若者は
戯れに兜に鼠を飼った
頭蓋をしゃぶりつくされた後は
頭があったはずの場所にゃ
鼠の巣しかなかったとさ！"
You are the powerless master of fire.,其方は炎の無力な主だ。
"Many still hold the belief that the fossilised bones
of Vaal sacrifices have magical properties.","ヴァールの生贄の化石化した骨が魔法の力を持つことを
信じている者はまだ数多くいる。"
"When you have slain all of your enemies,
what is left to fear?","「全ての敵を殺してしまえば、
何を恐れることがあろうか？」"
"""While Prototype #3 does imbue its wearer with strength to match the original,
the first researcher to don it burst into flames when he walked into sunlight...""","「プロトタイプ3号は使用者にオリジナルと同等の力を与える一方で、
最初にそれを着用した研究者は日光の下に出た時に燃え上がった...」"
"Many a collector of rarities discovered to his dismay
that the intelligent spirit in this sword
does not like to share its master's attention","「幾人もの珍品の収集家がこの剣に宿る知性ある霊は
主人の注目を独り占めしたがるということを
身を持って知ることとなった」"
